"Pathway"	"Genes"
"179"	"Pathway.KEGG_Antigen processing and presentation"	"CD74, HLA-DMA, HLA-DMB, NFYA, NFYB, NFYC, RFX5, RFXAP, RFXANK, CREB1, CIITA, CTSB, CTSL, CTSS, LGMN, IFI30, CD4, KIR2DS2, KIR3DL3, KIR2DL1, KIR2DL2, KIR2DL3, KIR2DL4, KIR2DS1, KIR2DS3, KIR2DS4, KIR2DS5, KIR3DL1, KIR3DL2, KLRC1, KLRC2, KLRC3, KLRD1, KIR2DL5A, KLRC4, CD8A, CD8B, CD8B2, TAPBP, CALR, PDIA3, B2M, HLA-A, HLA-B, HLA-C, HLA-E, HLA-F, HLA-G, HLA-DOA, HLA-DOB, HLA-DPA1, HLA-DPB1, HLA-DQA1, HLA-DQA2, HLA-DQB1, HLA-DRA, HLA-DRB1, HLA-DRB3, HLA-DRB4, HLA-DRB5, TAP1, TAP2, CANX, HSPA5, HSP90AA1, HSP90AB1, HSPA1A, HSPA1B, HSPA1L, HSPA2, HSPA4, HSPA6, HSPA8, PSME3, PSME1, PSME2, TNF, IFNG"
"180"	"Pathway.KEGG_Renin-angiotensin system"	"ACE2, ACE, AGTR1, AGTR2, NLN, THOP1, MME, ANPEP, ENPEP, CTSA, CPA3, MAS1, LNPEP, CMA1, CTSG, AGT, REN, ATP6AP2, KLK1, KLK2, MRGPRD, PREP, PRCP"
"181"	"Pathway.KEGG_Toll-like receptor signaling pathway"	"IFNB1, CHUK, TRAF6, IRAK1, IRAK4, MYD88, MAPK1, MAPK3, MAP3K8, NFKB1, SPP1, TRAF3, RIPK1, IRF7, IRF5, CXCL11, CXCL10, IFNA1, IFNA2, IFNA4, IFNA5, IFNA6, IFNA7, IFNA8, IFNA10, IFNA13, IFNA14, IFNA16, IFNA17, IFNA21, CD86, CD40, IKBKB, MAP3K7, MAPK14, MAPK11, MAPK13, MAPK12, CXCL8, TIRAP, RAC1, MAPK8, MAPK9, MAPK10, IL1B, TBK1, IKBKE, FADD, IL6, CCL5, TAB1, AKT3, AKT1, AKT2, TAB2, STAT1, NFKBIA, TNF, IRF3, CD80, TLR2, LY96, TLR5, TLR3, TLR1, TLR6, LBP, TLR9, TLR4, TICAM2, TOLLIP, TICAM1, CD14, IKBKG, CASP8, CCL3L3, CCL3, CCL3L1, CXCL9, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PIK3R2, PIK3R3, IFNAR1, IFNAR2, TLR7, TLR8, MAP2K7, MAP2K4, RELA, MAP2K3, MAP2K6, MAP2K1, MAP2K2, FOS, JUN, IL12A, IL12B, CCL4L1, CCL4, CCL4L2, CTSK"
"182"	"Pathway.KEGG_NOD-like receptor signaling pathway"	"PYCARD, CASP1, NOD1, NOD2, RIPK2, CHUK, IKBKB, MAP3K7, TAB1, TAB2, TAB3, NLRP1, NLRP3, IL1B, IL18, CARD8, NLRC4, SUGT1, HSP90AA1, HSP90AB1, MAPK8, MAPK9, MAPK10, MAPK1, MAPK3, MAPK14, MAPK11, MAPK13, MAPK12, PYDC2, MEFV, PSTPIP1, NAIP, AIM2, TP53BP1, P2RX7, TRPV2, TRPM7, TRPM2, PANX1, NFKB1, RELA, JUN, IKBKG, TRAF3, TBK1, IKBKE, IRF3, IRF7, IRAK4, NLRP12, GPRC6A, CASR, ITPR1, ITPR2, ITPR3, PLCB1, PLCB2, PLCB3, PLCB4, JAK1, TYK2, STAT1, STAT2, CASP4, GSDMD, TLR4, MYD88, IFNAR1, IFNAR2, ANTXR2, ANTXR1, GBP5, GBP2, RHOA, IFNA1, IFNA2, IFNA4, IFNA5, IFNA6, IFNA7, IFNA8, IFNA10, IFNA13, IFNA14, IFNA16, IFNA17, IFNA21, IFNB1, MAVS, VDAC1, VDAC2, VDAC3, MCU, ERBIN, TICAM1, NEK7, GBP4, GBP1, GBP3, GBP7, BRCC3, CASP12, TRAF6, NFKBIA, NFKBIB, PYDC5, PYDC1, TXNIP, BIRC2, BIRC3, XIAP, TXN2, TXN, RBCK1, RNF31, SHARPIN, ATG16L1, GABARAP, GABARAPL2, GABARAPL1, ATG12, ATG5, TANK, CYBB, CYBA, NAMPT, IFI16, STING1, NLRP6, NLRP7, TNFAIP3, CARD6, TRIP6, TRAF2, TRAF5, NLRX1, CARD9, IRF9, CARD16, CARD17, CARD18, PRKCD, CASP5, CASP8, FADD, BCL2, BCL2L1, MFN1, MFN2, DHX33, RIPK3, RIPK1, DNM1L, CTSB, OAS1, OAS2, OAS3, RNASEL, IL6, TNF, CXCL8, CXCL1, CXCL2, CXCL3, CCL2, CCL5, CAMP, DEFB4B, DEFA1, DEFA3, DEFA4, DEFA5, DEFA6, DEFB4A, DEFB103A, DEFB103B, DEFA1B, PKN1, PKN2, YWHAE"
"183"	"Pathway.KEGG_RIG-I-like receptor signaling pathway"	"DDX58, IFIH1, TRIM25, RNF125, MAVS, NFKB1, RELA, OTUD5, TRAF3, IRF3, IKBKE, IRF7, TANK, AZI2, TBKBP1, FADD, CASP8, CASP10, IFNA1, IFNA2, IFNA4, IFNA5, IFNA6, IFNA7, IFNA8, IFNA10, IFNA13, IFNA14, IFNA16, IFNA17, IFNA21, IFNB1, TRAF6, CHUK, IKBKB, IKBKG, NFKBIA, NFKBIB, TBK1, DHX58, ISG15, ATG5, ATG12, NLRX1, STING1, CYLD, PIN1, TRADD, RIPK1, SIKE1, TKFC, DDX3X, MAP3K1, MAPK8, MAPK9, MAPK10, MAPK14, MAPK11, MAPK13, MAPK12, TRAF2, MAP3K7, IFNW1, IFNE, IFNK, CXCL8, TNF, IL12A, IL12B, CXCL10"
"184"	"Pathway.KEGG_Cytosolic DNA-sensing pathway"	"CASP1, PYCARD, AIM2, IL1B, IL18, ZBP1, TBK1, IKBKE, IRF3, IFNB1, IRF7, IFNA1, IFNA2, IFNA4, IFNA5, IFNA6, IFNA7, IFNA8, IFNA10, IFNA13, IFNA14, IFNA16, IFNA17, IFNA21, CXCL10, MAVS, STING1, NFKB1, RELA, RIPK1, RIPK3, ADAR, IL6, CHUK, IKBKB, IKBKG, DDX58, IL33, NFKBIA, NFKBIB, POLR3F, POLR3G, POLR3C, POLR3A, POLR3H, POLR1D, POLR3K, POLR2E, POLR2F, POLR2H, POLR2K, POLR2L, POLR3B, POLR3E, POLR3D, POLR3GL, POLR1C, CCL4L1, CCL4, CCL4L2, CCL5, TREX1, CGAS"
"185"	"Pathway.KEGG_C-type lectin receptor signaling pathway"	"CLEC7A, CLEC6A, CLEC4E, CLEC4D, FCER1G, CLEC4M, CD209, LSP1, KSR1, PLK3, SRC, NFKB1, RAF1, PAK1, RRAS2, MRAS, HRAS, KRAS, NRAS, RRAS, RELA, SYK, IL23A, PTPN11, IKBKG, CHUK, IKBKB, IL12A, IL12B, NLRP3, CASP1, PYCARD, IL1B, CASP8, IL6, ARHGEF12, RHOA, CYLD, IKBKE, STAT1, STAT2, IRF9, IL17D, BCL3, MAPKAPK2, IL10, NFKBIA, CARD9, BCL10, MALT1, PRKCD, PLCG2, MAPK1, MAPK3, NFATC1, NFATC2, NFATC3, NFATC4, IL2, PPP3CA, PPP3CB, PPP3CC, PPP3R1, PPP3R2, ITPR1, ITPR2, ITPR3, MAP3K14, TNF, CBLB, CLEC1B, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PIK3R2, PIK3R3, AKT3, AKT1, AKT2, MDM2, IRF1, NFKB2, RELB, CALML6, CALML5, CALM1, CALM2, CALM3, CALML3, CALML4, PTGS2, CCL22, CCL17, EGR2, EGR3, MAPK14, MAPK11, MAPK13, MAPK12, MAPK8, MAPK9, MAPK10, JUN"
"186"	"Pathway.KEGG_JAK-STAT signaling pathway"	"MYC, AKT3, AKT1, AKT2, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PIK3R2, PIK3R3, SOS1, SOS2, GRB2, CISH, BCL2, SOCS4, SOCS7, SOCS1, SOCS2, SOCS3, SOCS6, SOCS5, CREBBP, EP300, IRF9, STAT1, STAT2, STAT3, STAT4, STAT5A, STAT5B, STAT6, PIAS3, PIAS4, PIAS1, PIAS2, PTPN6, STAM2, STAM, JAK1, JAK2, JAK3, TYK2, FHL1, IL22RA2, CNTFR, CSF2RA, CSF2RB, CSF3R, IL23R, IFNLR1, EGFR, EPOR, GHR, IFNAR1, IFNAR2, IFNGR1, IFNGR2, IL2RA, IL2RB, IL2RG, IL3RA, IL4R, IL5RA, IL6R, IL6ST, IL7R, IL9R, IL10RA, IL10RB, IL11RA, IL12RB1, IL12RB2, IL13RA1, IL13RA2, IL15RA, LEPR, LIFR, MPL, IL21R, PDGFRA, PDGFRB, IL20RA, IL20RB, PRLR, IL22RA1, CRLF2, OSMR, IL27RA, PTPN2, MCL1, PIM1, CCND1, CCND2, CCND3, PTPN11, CDKN1A, BCL2L1, HRAS, RAF1, AOX1, MTOR, GFAP, IL24, CSF2, CTF1, IFNL2, IFNL3, IFNL1, IL19, IFNE, IFNA1, IFNA2, IFNA4, IFNA5, IFNA6, IFNA7, IFNA8, IFNA10, IFNA13, IFNA14, IFNA16, IFNA17, IFNA21, IFNB1, IFNG, IFNW1, IL2, IL3, IL4, IL5, IL6, IL7, IL9, IL10, IL11, IL12A, IL12B, IL13, IL15, LIF, OSM, IL20, IL22, IL23A, IL17D, IFNK, IL21, TSLP, CNTF, CSF3, CSH1, CSH2, EPO, GH1, GH2, LEP, PRL, THPO, EGF, PDGFA, PDGFB"
"187"	"Pathway.KEGG_Hematopoietic cell lineage"	"LOC102723407, ITGA6, ITGA1, ITGA2, ITGA3, ITGA4, ITGA5, GP1BA, GP1BB, GP5, GP9, ITGA2B, CD14, CD9, ITGB3, IL11RA, CD59, CD55, CR1, CR1L, CD44, GYPA, CD36, KIT, EPOR, IL5RA, CSF3R, IL1R1, IL1R2, IL9R, ITGAM, ANPEP, IL6R, CSF1R, FCGR1A, IL4R, CD33, CSF2RA, IL3RA, FCER2, CD37, CR2, MS4A1, CD24, CD22, CD19, MME, CD3D, CD3E, CD3G, CD8A, CD8B, CD8B2, CD4, CD1A, CD1B, CD1C, CD1D, CD1E, CD5, CD2, CD7, CD34, CD38, TFRC, IL7R, IL2RA, DNTT, FLT3, HLA-DMA, HLA-DMB, HLA-DOA, HLA-DOB, HLA-DPA1, HLA-DPB1, HLA-DQA1, HLA-DQA2, HLA-DQB1, HLA-DRA, HLA-DRB1, HLA-DRB3, HLA-DRB4, HLA-DRB5, THPO, EPO, TNF, CSF1, CSF3, FLT3LG, IL11, IL6, CSF2, IL4, IL1A, IL1B, IL5, IL3, IL7, KITLG"
"188"	"Pathway.KEGG_Natural killer cell mediated cytotoxicity"	"LOC102723407, NFATC1, NFATC2, PPP3CA, PPP3CB, PPP3CC, PPP3R1, PPP3R2, FYN, TNFSF10, IFNGR1, IFNGR2, PLCG1, PLCG2, LAT, PRF1, HLA-E, IFNG, CSF2, TNF, PRKCA, PRKCB, PRKCG, SH3BP2, PTK2B, LCP2, SYK, ZAP70, LCK, SH2D1B, SH2D1A, HCST, CD247, FCER1G, TYROBP, PTPN11, PTPN6, IFNA1, IFNA2, IFNA4, IFNA5, IFNA6, IFNA7, IFNA8, IFNA10, IFNA13, IFNA14, IFNA16, IFNA17, IFNA21, IFNB1, BID, CASP3, GZMB, FAS, TNFRSF10B, TNFRSF10A, CD48, ULBP3, ULBP2, ULBP1, MICB, MICA, ICAM1, ICAM2, HLA-C, HLA-B, HLA-G, HLA-A, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PIK3R2, PIK3R3, MAPK1, MAPK3, MAP2K1, MAP2K2, ARAF, RAF1, BRAF, HRAS, KRAS, NRAS, SOS1, SOS2, GRB2, SHC2, SHC4, SHC3, SHC1, PAK1, RAC1, RAC2, RAC3, VAV3, VAV1, VAV2, FASLG, KLRD1, IFNAR1, IFNAR2, CD244, KLRC4-KLRK1, KLRK1, NCR3, NCR1, FCGR3A, FCGR3B, NCR2, KLRC2, KLRC3, KIR2DS2, KIR2DS1, KIR2DS3, KIR2DS4, KIR2DS5, ITGB2, ITGAL, KLRC1, KIR2DL1, KIR2DL2, KIR2DL3, KIR2DL4, KIR2DL5A, KIR3DL2, KIR3DL1, RAET1E, RAET1L, RAET1G"
"189"	"Pathway.KEGG_IL-17 signaling pathway"	"IKBKB, MAP3K7, CHUK, TRAF6, IL6, TAB3, TAB2, NFKBIA, IKBKG, NFKB1, RELA, FOS, FOSB, JUN, JUND, FOSL1, IL25, IL17RA, IL17RB, IL17A, IL17F, IL17C, IL17RE, IL17B, TRAF3IP2, TRAF3, IL17RC, HSP90AA1, HSP90AB1, HSP90B1, TRAF5, TRAF2, ELAVL1, SRSF1, IKBKE, MAPK14, MAPK15, MAPK1, MAPK3, MAPK4, MAPK6, MAPK7, MAPK8, MAPK11, MAPK9, MAPK10, MAPK13, MAPK12, CEBPB, TRADD, FADD, CASP3, CASP8, GSK3B, IL17D, CXCL1, CXCL2, CXCL3, CCL2, CCL7, CCL20, DEFB4B, DEFB4A, MUC5AC, MMP9, MMP13, IL4, IL5, IL13, CCL17, TBK1, TNFAIP3, ANAPC5, USP25, CXCL8, CSF2, CCL11, MMP1, MMP3, LCN2, PTGS2, TNF, CXCL6, CXCL5, CXCL10, CSF3, MUC5B, S100A7A, S100A7, S100A8, S100A9, TRAF4, IL1B, IFNG"
"190"	"Pathway.KEGG_Th1 and Th2 cell differentiation"	"IFNG, IL5, NFKBIA, NFKBIB, NFKBIE, NFKB1, RELA, CHUK, IKBKB, IKBKG, PRKCQ, NFATC1, NFATC2, NFATC3, PPP3CA, PPP3CB, PPP3CC, PPP3R1, PPP3R2, ZAP70, CD3E, CD3D, CD247, CD3G, MAPK1, MAPK3, MAPK14, MAPK11, MAPK13, MAPK12, MAPK8, MAPK9, MAPK10, JUN, LAT, FOS, PLCG1, CD4, LCK, IFNGR1, IFNGR2, STAT1, IL12A, IL12B, IL12RB1, IL12RB2, STAT4, IL4, IL4R, STAT6, GATA3, TBX21, IL13, IL2, IL2RA, IL2RB, IL2RG, STAT5A, STAT5B, MAF, JAG1, JAG2, NOTCH1, NOTCH2, MAML3, MAML2, MAML1, RBPJL, RBPJ, DLL3, DLL1, DLL4, NOTCH3, HLA-DMA, HLA-DMB, HLA-DOA, HLA-DOB, HLA-DPA1, HLA-DPB1, HLA-DQA1, HLA-DQA2, HLA-DQB1, HLA-DRA, HLA-DRB1, HLA-DRB3, HLA-DRB4, HLA-DRB5, JAK2, TYK2, JAK1, JAK3, RUNX3"
"191"	"Pathway.KEGG_Th17 cell differentiation"	"NFKBIA, NFKBIB, NFKBIE, NFKB1, RELA, CHUK, IKBKB, IKBKG, PRKCQ, NFATC1, NFATC2, NFATC3, PPP3CA, PPP3CB, PPP3CC, PPP3R1, PPP3R2, ZAP70, MAPK1, MAPK3, MAPK14, MAPK11, MAPK13, MAPK12, MAPK8, MAPK9, MAPK10, JUN, LAT, FOS, PLCG1, CD4, LCK, IFNG, IFNGR1, IFNGR2, STAT1, IL4, IL2RG, IL4R, STAT6, IL2, IL2RA, IL2RB, STAT5A, STAT5B, HLA-DMA, HLA-DMB, HLA-DOA, HLA-DOB, HLA-DPA1, HLA-DPB1, HLA-DQA1, HLA-DQA2, HLA-DQB1, HLA-DRA, HLA-DRB1, HLA-DRB3, HLA-DRB4, HLA-DRB5, IL1R1, IL1RAP, IL21R, IL6R, IL6ST, IL23R, IL12RB1, STAT3, MTOR, TGFBR1, TGFBR2, IL21, IL17A, IL17F, IL22, RORC, RORA, IRF4, TBX21, RUNX1, GATA3, RARA, RXRA, RXRB, RXRG, FOXP3, TGFB1, SMAD2, SMAD3, SMAD4, IL27RA, IL1B, IL17D, IL6, IL23A, HSP90AA1, HSP90AB1, AHR, CD3E, CD3G, CD3D, CD247, HIF1A, JAK1, JAK3, JAK2, TYK2"
"192"	"Pathway.KEGG_T cell receptor signaling pathway"	"CDK4, TNF, CSF2, IFNG, IL10, IL5, IL4, IL2, NFKBIA, NFKBIB, NFKBIE, NFKB1, RELA, IKBKB, IKBKG, CHUK, MAP3K14, MAP3K8, AKT3, AKT1, AKT2, MALT1, BCL10, CARD11, PRKCQ, PDPK1, GRB2, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PIK3R2, PIK3R3, CD28, ICOS, CD40LG, SOS1, SOS2, RASGRP1, HRAS, KRAS, NRAS, FOS, JUN, NFATC1, NFATC2, NFATC3, PPP3CA, PPP3CB, PPP3CC, PPP3R1, PPP3R2, ITK, TEC, PLCG1, LAT, GRAP2, VAV3, VAV1, VAV2, RHOA, CDC42, PAK4, BUB1B-PAK6, PAK1, PAK2, PAK3, PAK6, PAK5, NCK1, NCK2, LCP2, ZAP70, CD3E, CD3D, CD247, FYN, CD3G, CD4, CD8A, CD8B, CD8B2, CBLB, LCK, PTPRC, PTPN6, CTLA4, PDCD1, MAP2K1, MAP2K2, RAF1, MAPK1, MAPK3, MAP3K7, MAP2K7, MAPK8, MAPK9, MAPK10, DLG1, MAPK14, MAPK11, MAPK13, MAPK12, GSK3B"
"193"	"Pathway.KEGG_B cell receptor signaling pathway"	"NFKBIA, NFKBIB, NFKBIE, NFKB1, RELA, IKBKB, IKBKG, CHUK, GSK3B, MALT1, BCL10, CARD11, AKT3, AKT1, AKT2, PRKCB, VAV3, VAV1, VAV2, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PIK3R2, PIK3R3, CR2, CD19, CD81, IFITM1, INPP5D, INPPL1, FCGR2B, FOS, JUN, HRAS, KRAS, NRAS, RASGRP3, NFATC1, NFATC2, NFATC3, PPP3CA, PPP3CB, PPP3CC, PPP3R1, PPP3R2, RAC1, RAC2, RAC3, PLCG2, BLNK, BTK, LYN, CD79B, CD79A, LOC102723407, SYK, PTPN6, CD72, CD22, LOC102725035, LILRB2, LILRB1, LILRB5, LILRB4, LILRA1, LILRB3, LILRA3, LILRA2, LILRA4, LILRA5, LILRA6, MAP2K1, MAP2K2, MAPK1, MAPK3, RAF1, SOS1, SOS2, GRB2, PIK3AP1, DAPP1"
"194"	"Pathway.KEGG_Fc epsilon RI signaling pathway"	"LOC102723407, FCER1G, MS4A2, FCER1A, FYN, TNF, IL13, IL4, AKT3, AKT1, AKT2, CSF2, MAPK14, MAPK11, MAPK13, MAPK12, MAP2K7, MAP2K4, MAP2K3, MAP2K6, PDPK1, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PIK3R2, PIK3R3, PRKCA, GAB2, LCP2, BTK, SYK, LYN, LAT, PLCG1, PLCG2, INPP5D, MAPK1, MAPK3, MAP2K1, MAP2K2, RAF1, HRAS, KRAS, NRAS, SOS1, SOS2, GRB2, PLA2G4B, PLA2G4E, PLA2G4F, PLA2G4D, PLA2G4A, PLA2G4C, JMJD7-PLA2G4B, MAPK8, MAPK9, MAPK10, RAC1, RAC2, RAC3, VAV3, VAV1, VAV2, IL5, IL3, ALOX5, ALOX5AP"
"195"	"Pathway.KEGG_Fc gamma R-mediated phagocytosis"	"FCGR3A, FCGR3B, FCGR2B, FCGR2A, FCGR1A, HCK, LYN, SYK, PTPRC, LOC102723407, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PIK3R2, PIK3R3, INPP5D, INPPL1, LAT, PLCG1, PLCG2, PRKCD, PRKCE, RAF1, MAP2K1, MAPK1, MAPK3, PLA2G4B, PLA2G4E, PLA2G4F, PLA2G4D, PLA2G4A, PLA2G4C, JMJD7-PLA2G4B, AKT3, AKT1, AKT2, RPS6KB1, RPS6KB2, VAV3, VAV1, VAV2, RAC1, RAC2, WASF2, WASF3, WASF1, ARPC5, ARPC4, ARPC3, ARPC1B, ARPC2, ARPC1A, ARPC5L, CDC42, WAS, DOCK2, CRK, CRKL, PLD1, PLD2, PAK1, VASP, LIMK1, LIMK2, CFL1, CFL2, ASAP1, ASAP3, ASAP2, PLA2G6, MARCKS, MARCKSL1, MYO10, GSN, SCIN, PIP5K1C, PIP5K1A, PIP5K1B, PLPP1, PLPP2, PLPP3, GAB2, ARF6, DNM2, NCF1, AMPH, BIN1, SPHK2, SPHK1, PRKCA, PRKCB, PRKCG"
"196"	"Pathway.KEGG_TNF signaling pathway"	"TNF, TNFRSF1A, TRADD, TRAF2, TRAF5, RIPK1, BIRC2, BIRC3, MAP3K7, MAP2K7, MAP2K4, MAP2K3, MAP2K6, MAPK14, MAPK11, MAPK13, MAPK12, MAPK8, MAPK9, MAPK10, IKBKG, IKBKB, NFKBIA, NFKB1, RELA, MAP3K8, MAP2K1, MAPK1, MAPK3, RPS6KA4, RPS6KA5, CREB3, CREB1, ATF2, ATF6B, CREB3L4, ATF4, CREB3L2, CREB3L3, CREB3L1, CREB5, CEBPB, FOS, JUN, FADD, CASP8, CASP7, CASP3, CCL2, CCL5, CCL20, CXCL1, CXCL2, CXCL3, CXCL6, CXCL5, CXCL10, CX3CL1, CSF1, CSF2, FAS, IL18R1, JAG1, IL1B, IL6, IL15, LIF, LTA, BCL3, SOCS3, TNFAIP3, TRAF1, JUNB, MMP3, MMP9, MMP14, EDN1, VEGFD, VEGFC, NOD2, ICAM1, SELE, VCAM1, PTGS2, TNFRSF1B, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PIK3R2, PIK3R3, AKT3, AKT1, AKT2, MAP3K14, CHUK, TRAF3, RIPK3, BAG4, CASP10, MLKL, PGAM5, DNM1L, TAB1, TAB2, TAB3, MAP3K5, ITCH, CFLAR, DAB2IP, IRF1, IFNB1"
"197"	"Pathway.KEGG_Leukocyte transendothelial migration"	"CLDN24, OCLN, CLDN16, CLDN4, CLDN3, CLDN7, CLDN23, CLDN19, CLDN14, CLDN15, CLDN17, CLDN20, CLDN11, CLDN18, CLDN22, CLDN25, CLDN5, CLDN10, CLDN8, CLDN6, CLDN2, CLDN1, CLDN9, ESAM, MMP2, MMP9, PTPN11, CDH5, CD99, PECAM1, ITGB2, CTNND1, BCAR1, AFDN, SIPA1, F11R, ITGAL, ITGB1, ITGA4, JAM2, ITGAM, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PIK3R2, PIK3R3, CTNNB1, ACTB, ACTG1, MYL12B, MYL9, MYL12A, MYLPF, MYL2, MYL5, MYL7, MYL10, ROCK1, ROCK2, PRKCA, PRKCB, PRKCG, PTK2, RHOA, JAM3, MAPK14, MAPK11, MAPK13, MAPK12, ARHGAP35, ARHGAP5, CTNNA1, CTNNA2, CTNNA3, CYBB, CYBA, NCF2, PXN, NCF1, RAC1, NCF4, RAP1A, RAP1B, VAV3, VAV1, VAV2, RAC2, MSN, EZR, RAPGEF3, RAPGEF4, ITK, TXK, RASSF5, PTK2B, CXCL12, CXCR4, GNAI1, GNAI2, GNAI3, THY1, VCAM1, ICAM1, PLCG1, PLCG2, CDC42, RHOH, VCL, VASP, ACTN4, ACTN1"
"198"	"Pathway.KEGG_Intestinal immune network for IgA production"	"TGFB1, IL5, IL6, TNFSF13, TNFSF13B, CD40LG, CD40, TNFRSF13C, TNFRSF13B, TNFRSF17, CD80, CD86, CD28, HLA-DMA, HLA-DMB, HLA-DOA, HLA-DOB, HLA-DPA1, HLA-DPB1, HLA-DQA1, HLA-DQA2, HLA-DQB1, HLA-DRA, HLA-DRB1, HLA-DRB3, HLA-DRB4, HLA-DRB5, CCR9, IL10, CCR10, CCL28, IL15, ITGA4, ITGB7, MADCAM1, CXCL12, IL4, AICDA, LOC102723407, CCL25, IL2, LTBR, MAP3K14, ICOS, LOC102723996, ICOSLG, CXCR4, IL15RA, PIGR"
"199"	"Pathway.KEGG_Circadian rhythm"	"ARNTL, NPAS2, CLOCK, RORA, RORB, RORC, NR1D1, PER1, PER3, PER2, CRY1, CRY2, TPTEP2-CSNK1E, CSNK1D, CSNK1E, SKP1, CUL1, RBX1, FBXW11, BTRC, FBXL3, PRKAG2, PRKAG3, PRKAA1, PRKAA2, PRKAB1, PRKAB2, PRKAG1, CREB1, BHLHE41, BHLHE40"
"200"	"Pathway.KEGG_Circadian entrainment"	"GRIN1, GRIN2A, GRIN2B, GRIN2C, GRIN2D, CALML6, CALML5, CALM1, CALM2, CALM3, CALML3, CALML4, CAMK2A, CAMK2B, CAMK2D, CAMK2G, NOS1, GUCY1A2, GUCY1A1, GUCY1B1, PRKG1, PRKG2, MTNR1B, PLCB1, PLCB2, PLCB3, PLCB4, PRKCA, PRKCB, PRKCG, GNB5, GNAQ, GNB1, GNB2, GNB3, GNG3, GNG4, GNG5, GNG7, GNG10, GNG11, GNGT1, GNGT2, GNG13, GNG2, GNG12, GNB4, GNG8, CACNA1I, CACNA1H, CACNA1G, ITPR1, ITPR3, RYR1, RYR2, RYR3, GRIA1, GRIA2, GRIA3, GRIA4, MAPK1, MAPK3, ADCYAP1R1, ADCY1, ADCY2, ADCY3, ADCY5, ADCY6, ADCY7, ADCY8, ADCY9, ADCY4, ADCY10, PRKACA, PRKACB, PRKACG, GNAS, RASD1, CACNA1C, CACNA1D, NOS1AP, GNAI1, GNAI2, GNAI3, GNAO1, RPS6KA5, CREB1, MTNR1A, KCNJ3, KCNJ5, KCNJ6, KCNJ9, PER1, PER3, PER2, FOS, ADCYAP1"
